code,name,market,sector,theme
6466,ＴＶＥ,Standard,機械,ロボット・FA
6467,ニチダイ,Standard,機械,ロボット・FA
6469,放電精密加工研究所,Standard,機械,ロボット・FA
6470,大豊工業,Standard,機械,ロボット・FA
6471,日本精工,Prime,機械,ロボット・FA
6472,ＮＴＮ,Prime,機械,ロボット・FA
6473,ジェイテクト,Prime,機械,ロボット・FA
6474,不二越,Prime,機械,ロボット・FA
6479,ミネベアミツミ,Prime,電気機器,半導体関連
6480,日本トムソン,Prime,機械,ロボット・FA
6481,ＴＨＫ,Prime,機械,ロボット・FA
6482,ＹＵＳＨＩＮ,Standard,機械,ロボット・FA
6484,ＫＶＫ,Standard,機械,ロボット・FA
6485,前澤給装工業,Standard,機械,ロボット・FA
6486,イーグル工業,Prime,機械,ロボット・FA
6488,ヨシタケ,Standard,機械,ロボット・FA
6489,前澤工業,Standard,機械,ロボット・FA
6490,ＰＩＬＬＡＲ,Prime,機械,ロボット・FA
6492,岡野バルブ製造,Standard,機械,ロボット・FA
6493,ＮＩＴＴＡＮ,Standard,輸送用機器,内需・ディフェンシブ
6494,ＮＦＫホールディングス,Standard,機械,ロボット・FA
6495,宮入バルブ製作所,Standard,機械,ロボット・FA
6496,中北製作所,Standard,機械,ロボット・FA
6497,ハマイ,Standard,機械,ロボット・FA
6498,キッツ,Prime,機械,ロボット・FA
6501,日立製作所,Prime,電気機器,半導体関連
6503,三菱電機,Prime,電気機器,半導体関連
6504,富士電機,Prime,電気機器,半導体関連
6505,東洋電機製造,Standard,電気機器,半導体関連
6506,安川電機,Prime,電気機器,半導体関連
6507,シンフォニアテクノロジー,Prime,電気機器,半導体関連
6508,明電舎,Prime,電気機器,半導体関連
6513,オリジン,Standard,電気機器,半導体関連
6516,山洋電気,Prime,電気機器,半導体関連
6517,デンヨー,Prime,電気機器,半導体関連
6518,三相電機,Standard,電気機器,半導体関連
6521,オキサイド,Growth,電気機器,半導体関連
6522,アスタリスク,Growth,電気機器,半導体関連
6523,ＰＨＣホールディングス,Prime,電気機器,半導体関連
6524,湖北工業,Standard,電気機器,半導体関連
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,Prime,電気機器,半導体関連
6526,ソシオネクスト,Prime,電気機器,半導体関連
6527,ワカ製作所,PRO,電気機器,半導体関連
6532,ベイカレント,Prime,サービス業,サービス
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,Prime,サービス業,サービス
6535,アイモバイル,Prime,サービス業,サービス
6537,ＷＡＳＨハウス,Growth,サービス業,サービス
6538,ディスラプターズ,Standard,サービス業,サービス
6539,ＭＳ－Ｊａｐａｎ,Prime,サービス業,サービス
6540,船場,Standard,サービス業,サービス
6543,日宣,Standard,サービス業,サービス
6544,ジャパンエレベーターサービスホールディングス,Prime,サービス業,サービス
6545,インターネットインフィニティー,Growth,サービス業,サービス
6546,フルテック,Standard,サービス業,サービス
6547,グリーンズ,Standard,サービス業,サービス
6548,旅工房,Growth,サービス業,サービス
6549,ディーエムソリューションズ,Standard,サービス業,サービス
